Context,Locale,Key,Value
bundle,en,"A problem was encountered by the server, please contact an administrator.",
bundle,en,Approvals,
bundle,en,Cancel,
bundle,en,Change Password,
bundle,en,Confirm Password,
bundle,en,Created At,
bundle,en,Created By,
bundle,en,Display Name,
bundle,en,Edit Profile,
bundle,en,Edit Your Profile,
bundle,en,Email,
bundle,en,Error,
bundle,en,"Error building header navigation. The value of the ""Header Navigation List"" attribute contains invalid JSON.",
bundle,en,Failed to save changes.,
bundle,en,Form,
bundle,en,Home,
bundle,en,I already have a reset code.,
bundle,en,I don't have a reset code.,
bundle,en,Invalid username and/or password.,
bundle,en,Kapp Setup,
bundle,en,KAPPS,
bundle,en,Kapps,
bundle,en,Kinetic Data,
bundle,en,Label,
bundle,en,Learn More,
bundle,en,Login,
bundle,en,Logout,
bundle,en,manage,
bundle,en,Management Console,
bundle,en,My Approvals,
bundle,en,My Requests,
bundle,en,Password,
bundle,en,Password Confirmation,
bundle,en,Password Reset,
bundle,en,Passwords do not match.,
bundle,en,Please contact your administrator.,
bundle,en,Preferred Language,
bundle,en,Profile,
bundle,en,Request Date,
bundle,en,Requests,
bundle,en,Reset Password,
bundle,en,Reset Password Password,
bundle,en,Reset Password Token,
bundle,en,Return to the KAPP_NAME,
bundle,en,Save,
bundle,en,Search,
bundle,en,Search Results,
bundle,en,Search term not found,
bundle,en,State,
bundle,en,Status,
bundle,en,Submission,
bundle,en,Submission Details,
bundle,en,Submit,
bundle,en,Submit again,
bundle,en,Successfully updated user profile for NAME,
bundle,en,Thank you for your submission,
bundle,en,The page will reload in NUMBER seconds due to the change in preferred language.,
bundle,en,The setup for this application is not complete.,
bundle,en,There was a problem retrieving post processing task information for this submission.,
bundle,en,This FORM_TYPE has been completed by SUBMITTER.,
bundle,en,This FORM_TYPE has been locked by USER.,
bundle,en,This FORM_TYPE is locked by you.,
bundle,en,This FORM_TYPE is not locked.,
bundle,en,Toggle navigation,
bundle,en,Unable to verify lock.,
bundle,en,user,
bundle,en,Username,
bundle,en,WARNING,
bundle,en,You are a space admin and can modify this record without a lock.,
bundle,en,You do not have access to this page.,
bundle,en,You will receive an email with a unique code which will enable you to reset your password. Type that password into the token field and enter your new desired password.,
bundle,en,Your password reset token was not valid. Please try again.,
bundle,en,Your passwords did not match.,
